12/25/2023 19:02:02 32.25C, 30.44C, 32.25C, 30.13C, 29.63C, 29.81C
12/25/2023 19:02:04 32.25C, 30.44C, 32.31C, 30.19C, 29.63C, 29.88C
12/25/2023 19:02:07 32.38C, 30.50C, 32.38C, 30.25C, 29.69C, 29.94C
12/25/2023 19:02:09 32.38C, 30.56C, 32.44C, 30.25C, 29.75C, 29.94C
12/25/2023 19:02:11 32.50C, 30.63C, 32.50C, 30.31C, 29.75C, 30.00C
12/25/2023 19:02:14 32.56C, 30.69C, 32.63C, 30.38C, 29.75C, 30.06C
12/25/2023 19:02:16 32.56C, 30.69C, 32.69C, 30.44C, 29.81C, 30.06C
12/25/2023 19:02:19 32.63C, 30.75C, 32.75C, 30.44C, 29.81C, 30.13C
12/25/2023 19:02:21 32.69C, 30.75C, 32.81C, 30.50C, 29.88C, 30.13C
12/25/2023 19:02:23 32.75C, 30.81C, 32.88C, 30.50C, 29.94C, 30.19C
12/25/2023 19:02:26 32.81C, 30.88C, 32.94C, 30.56C, 30.00C, 30.25C
12/25/2023 19:02:28 32.81C, 30.88C, 33.00C, 30.56C, 30.00C, 30.25C
12/25/2023 19:02:31 32.94C, 30.94C, 33.06C, 30.63C, 30.06C, 30.31C
12/25/2023 19:02:33 32.94C, 30.94C, 33.13C, 30.69C, 30.06C, 30.31C
12/25/2023 19:02:36 33.00C, 31.00C, 33.25C, 30.75C, 30.06C, 30.38C
12/25/2023 19:02:38 33.06C, 31.00C, 33.25C, 30.75C, 30.13C, 30.38C
12/25/2023 19:02:40 33.06C, 31.06C, 33.31C, 30.75C, 30.19C, 30.38C
12/25/2023 19:02:43 33.13C, 31.06C, 33.38C, 30.81C, 30.19C, 30.44C
12/25/2023 19:02:45 33.19C, 31.13C, 33.44C, 30.88C, 30.25C, 30.50C
12/25/2023 19:02:48 33.19C, 31.19C, 33.50C, 30.94C, 30.25C, 30.50C
12/25/2023 19:02:50 33.25C, 31.19C, 33.56C, 30.94C, 30.25C, 30.56C
12/25/2023 19:02:52 33.31C, 31.19C, 33.63C, 31.00C, 30.31C, 30.63C
12/25/2023 19:02:55 33.38C, 31.31C, 33.69C, 31.00C, 30.31C, 30.63C
12/25/2023 19:02:57 33.38C, 31.31C, 33.75C, 31.06C, 30.38C, 30.63C
